name,symbol,current_price,market_cap,market_cap_rank,total_volume,price_change_percentage_24h,circulating_supply,ath,atl,price_distance_from_ath,price_distance_from_atl,volatility_estimate
Pepe,pepe,3.33e-06,1400110091,56,290494288.0,-0.55854,420690000000000.0,2.803e-05,5.5142e-08,2.47e-05,3.274858e-06,2.7974858e-05
BFUSD,bfusd,0.999397,1319204531,57,905198.0,-0.00052,1320000000.0,1.007,0.997035,0.007602999999999915,0.0023619999999999752,0.00996499999999989
Ondo US Dollar Yield,usdy,1.12,1306015762,58,152637.0,0.11753,1169428782.022984,1.26,0.934184,0.1399999999999999,0.1858160000000001,0.325816
Ethereum Classic,etc,8.24,1283992331,59,29742277.0,-0.95121,155872680.9041836,167.09,0.615038,158.85,7.624962,166.474962
Ondo,ondo,0.257546,1253979567,60,34120104.0,0.50265,4869330647.0,2.14,0.082171,1.882454,0.175375,2.057829
Pump.fun,pump,0.00207379,1222341293,61,99254029.0,2.43603,590000000000.0,0.00881908,0.00168441,0.00674529,0.00038937999999999993,0.00713467
Gate,gt,7.01,1133103428,62,1803809.0,-0.46613,115180573.04885802,25.38,0.25754,18.369999999999997,6.75246,25.12246
Superstate Short Duration U.S. Government Securities Fund (USTB),ustb,11.02,1091149443,63,0.0,0.00961,99041646.209981,11.02,10.29,0.0,0.7300000000000004,0.7300000000000004
Morpho,morpho,1.98,1086318473,64,14692833.0,0.67615,549461938.2284302,4.17,0.713151,2.19,1.2668490000000001,3.456849
KuCoin,kcs,7.97,1053727980,65,1931047.0,-1.42971,132155021.7355671,28.83,0.342863,20.86,7.627136999999999,28.487136999999997
Worldcoin,wld,0.357138,1042146516,66,105694489.0,-0.03254,2919142043.736522,11.74,0.31803,11.382862,0.03910800000000003,11.42197
POL (ex-MATIC),pol,0.098196,1041376489,67,51313864.0,0.32445,10606529558.27263,1.29,0.086938,1.191804,0.011258000000000004,1.203062
Spiko EU T-Bills Money Market Fund,eutbl,1.21,942875540,68,0.0,-0.48655,781425943.6179,1.26,1.011,0.050000000000000044,0.19900000000000007,0.2490000000000001
Quant,qnt,63.38,921770758,69,10453174.0,1.62289,14544176.164081175,427.42,0.215773,364.04,63.164227000000004,427.204227
Cosmos Hub,atom,1.83,909009853,70,30224893.0,-0.16899,497696280.757145,43.84,1.16,42.010000000000005,0.6700000000000002,42.68000000000001
NEXO,nexo,0.904112,904224499,71,9415786.0,-0.29715,1000000000.0,4.07,0.04515276,3.1658880000000003,0.85895924,4.024847240000001
Ethena,ena,0.105461,895645818,72,83416731.0,0.31492,8492187500.0,1.52,0.094338,1.414539,0.011122999999999994,1.425662
Render,render,1.63,844754355,73,78150774.0,6.08712,518743261.0140742,13.53,0.03665669,11.899999999999999,1.5933433099999998,13.49334331
USDtb,usdtb,0.999583,834786688,74,1969421.0,0.0297,835770164.1561825,1.057,0.900502,0.05741699999999994,0.09908099999999997,0.15649799999999991
Kaspa,kas,0.03035674,812871112,75,9656680.0,-0.79994,26777148610.50726,0.207411,0.00017105,0.17705426000000002,0.03018569,0.20723995
Midnight,night,0.04824276,800792443,76,57142566.0,-0.45274,16607399400.63495,0.118529,0.02378032,0.07028624,0.024462440000000002,0.09474868
Algorand,algo,0.087849,780281080,77,26813463.0,1.76142,8888258635.127714,3.56,0.081545,3.472151,0.00630399999999999,3.478455
Provenance Blockchain,hash,0.01374544,764906178,78,3189.33,-1.09071,55599959505.0,0.060147,0.00976953,0.04640156,0.003975909999999999,0.05037747
USDD,usdd,1.0,755747228,79,4401568.0,0.00033,755737181.99,1.052,0.928067,0.052000000000000046,0.07193300000000002,0.12393300000000007
Flare,flr,0.00884377,752984498,80,3483925.0,-1.54808,85148295554.62566,0.150073,0.00827405,0.14122923,0.000569720000000001,0.14179895
OUSG,ousg,114.57,723382418,81,0.0,0.00926,6314045.546598854,114.57,95.09,0.0,19.47999999999999,19.47999999999999
Aptos,apt,0.906264,708303120,82,62459543.0,-3.42148,781619625.442622,19.92,0.795451,19.013736,0.11081299999999994,19.124549000000002
Official Trump,trump,2.92,679200154,83,260727398.0,0.09993,232498807.465716,73.43,2.73,70.51,0.18999999999999995,70.7
Janus Henderson Anemoy Treasury Fund,jtrsy,1.097,668598023,84,0.0,0.00848,609492488.788696,1.097,1.085,0.0,0.01200000000000001,0.01200000000000001
XDC Network,xdc,0.03315834,661126802,85,15965309.0,3.1207,19937323859.37,0.192754,0.00039532,0.15959566,0.032763020000000004,0.19235868
Filecoin,fil,0.865173,658534840,86,88291149.0,-2.17786,761274039.0,236.84,0.812608,235.974827,0.05256499999999997,236.027392
Beldex,bdx,0.080598,613026348,87,11942462.0,0.12186,7606180433.194841,0.450785,0.00027519,0.370187,0.08032281000000001,0.45050981
VeChain,vet,0.00712452,612614699,88,12985821.0,-0.08321,85985041177.0,0.280991,0.00191713,0.27386647999999997,0.005207389999999999,0.27907387
YLDS,ylds,0.999829,595452293,89,9367941.0,-0.00941,595554426.68,1.001,0.999202,0.001170999999999922,0.0006269999999999332,0.0017979999999998553
​​Stable,stable,0.02849217,592803331,90,20372023.0,-0.43735,20810522633.0,0.0388874,0.0092214,0.010395230000000002,0.01927077,0.029666000000000005
Arbitrum,arb,0.099522,591233819,91,53402040.0,-0.96599,5939074958.0,2.39,0.088935,2.2904780000000002,0.010587,2.301065
GHO,gho,0.999864,583920422,92,3401635.0,-0.03824,584000000.0,1.03,0.917065,0.03013600000000005,0.08279899999999996,0.11293500000000001
Jupiter,jup,0.161378,564300258,93,22290980.0,-2.71747,3497363517.1,2.0,0.135801,1.838622,0.02557699999999999,1.864199
Usual USD,usd0,0.998352,561889603,94,569100.0,0.44058,562828914.0946031,1.33,0.962885,0.33164800000000005,0.035467000000000026,0.3671150000000001
Bonk,bonk,6.01e-06,528457461,95,37247889.0,0.52613,87994758705168.16,5.825e-05,8.6142e-08,5.224e-05,5.923858e-06,5.8163858e-05
TrueUSD,tusd,0.999692,494364673,96,4764813.0,-0.00264,494515083.0,1.62,0.88355,0.6203080000000001,0.11614200000000008,0.7364500000000002
A7A5,a7a5,0.01250199,490025162,97,1775.08,0.10515,39195527010.90073,0.229635,1.048e-05,0.21713301000000002,0.012491509999999999,0.22962452
Fasttoken,ftn,1.09,472710375,98,40696.0,0.00356,433861414.6,4.61,0.334201,3.5200000000000005,0.7557990000000001,4.275799
JUST,jst,0.053415,471099111,99,24243139.0,0.14225,8815108920.581306,0.193254,0.00476275,0.13983900000000002,0.048652249999999994,0.18849125
Stacks,stx,0.253069,464330718,100,10766670.0,-0.92427,1834583241.76949,3.86,0.04559639,3.606931,0.20747261,3.81440361
